date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry
2020-10-31,0.5702,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2020-11-16,0.606,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2020-12-02,0.3884,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2020-12-18,0.4583,28.51999982,0.0,12,1,0.8,POINT (72.05 22.77)
2021-01-01,0.5326,28.51999982,0.0,1,0,0.8,POINT (72.05 22.77)
2021-01-17,0.4461,28.51999982,0.0,1,0,0.8,POINT (72.05 22.77)
2021-02-02,0.4539,28.51999982,0.0,2,0,0.8,POINT (72.05 22.77)
2021-02-18,0.4271,28.51999982,0.0,2,0,0.8,POINT (72.05 22.77)
2021-03-06,0.3912,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2021-03-22,0.4379,28.51999982,0.0,3,0,0.8,POINT (72.05 22.77)
2021-04-07,0.3804,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2021-04-23,0.4509,28.51999982,0.0,4,0,0.8,POINT (72.05 22.77)
2021-05-09,0.4911,28.51999982,0.0,5,0,0.8,POINT (72.05 22.77)
2021-05-25,0.403,28.51999982,0.0,5,0,0.8,POINT (72.05 22.77)
2021-06-10,0.4123,28.51999982,0.0,6,0,0.8,POINT (72.05 22.77)
2021-06-26,0.2111,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2021-07-12,0.2631,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2021-07-28,0.1299,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2021-08-13,0.2637,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2021-08-29,0.0992,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2021-09-14,0.2714,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2021-09-30,0.3308,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2021-10-16,0.3092,28.51999982,0.0,10,0,0.4,POINT (72.05 22.77)
2021-11-01,0.4807,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2021-11-17,0.4871,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2021-12-03,0.435,28.51999982,0.0,12,1,0.8,POINT (72.05 22.77)
2021-12-19,0.3616,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2022-01-01,0.5073,28.51999982,0.0,1,0,0.8,POINT (72.05 22.77)
2022-01-17,0.4821,28.51999982,0.0,1,0,0.8,POINT (72.05 22.77)
2022-02-02,0.3875,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2022-02-18,0.4421,28.51999982,0.0,2,0,0.8,POINT (72.05 22.77)
2022-03-06,0.4108,28.51999982,0.0,3,0,0.8,POINT (72.05 22.77)
2022-03-22,0.3709,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2022-04-07,0.3644,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2022-04-23,0.3591,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2022-05-09,0.3267,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2022-05-25,0.1991,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2022-06-10,0.2631,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2022-06-26,0.1493,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2022-07-12,0.2321,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2022-07-28,0.0994,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2022-08-13,0.0981,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2022-08-29,0.279,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2022-09-14,0.2765,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
